id	code	name	population	bach_degree_plus	mean_earnings
1	AL	Alabama	4817624	23	50525
2	AK	Alaska	729603	27.4	61749
4	AZ	Arizona	6548856	27.2	54479
5	AR	Arkansas	2949238	20.7	46529
6	CA	California	38000360	30.8	65106
8	CO	Colorado	5192076	37.3	61349
9	CT	Connecticut	3592264	36.9	77491
10	DE	Delaware	916929	29.3	58933
11	DC	District of Columbia	633167	53.5	86009
12	FL	Florida	19319031	26.6	52275
13	GA	Georgia	9905993	28.1	55098
15	HI	Hawaii	1390348	30.3	53764
16	ID	Idaho	1597222	25.6	48566
17	IL	Illinois	12868770	31.7	62564
18	IN	Indiana	6541673	23.5	52041
19	IA	Iowa	3076519	26.1	50948
20	KS	Kansas	2882966	30.5	53111
21	KY	Kentucky	4380635	21.8	49426
22	LA	Louisiana	4600933	21.9	51692
23	ME	Maine	1328217	28.2	51160
24	MD	Maryland	5884640	37.1	70234
25	MA	Massachusetts	6648138	39.6	73006
26	MI	Michigan	9884242	26.2	56645
27	MN	Minnesota	5382376	33.1	60680
28	MS	Mississippi	2985181	20.2	45621
29	MO	Missouri	6026255	26.5	51943
30	MT	Montana	1006086	28.9	47650
31	NE	Nebraska	1855209	28.7	50536
32	NV	Nevada	2754148	22.5	53353
33	NH	New Hampshire	1321050	34.2	62998
34	NJ	New Jersey	8867909	36.1	74901
35	NM	New Mexico	2082250	26	49737
36	NY	New York	19576660	33.5	67442
37	NC	North Carolina	9749266	27.6	52597
38	ND	North Dakota	703203	27.2	52376
39	OH	Ohio	11557868	25.4	54393
40	OK	Oklahoma	3817296	23.8	48989
41	OR	Oregon	3899266	30	55730
42	PA	Pennsylvania	12759859	27.9	58345
44	RI	Rhode Island	1050722	31.8	60993
45	SC	South Carolina	4723923	25	49182
46	SD	South Dakota	834236	26.4	46910
47	TN	Tennessee	6449754	24.2	51211
48	TX	Texas	26049971	26.9	55634
49	UT	Utah	2856839	30.8	55224
50	VT	Vermont	626303	35.7	53735
51	VA	Virginia	8184299	35.5	65434
53	WA	Washington	6896071	32.1	63219
54	WV	West Virginia	1855392	18.8	48593
55	WI	Wisconsin	5725352	27.2	53618
56	WY	Wyoming	575535	25.3	53145
