id	name	code	pos_x	pos_y	rotate	width	height	pos_x_adj	pos_y_adj
1	Alabama	AL	204	302	0	68	110	204	302
2	Alaska	AK	80	179	-10	734	391	148	179
4	Arizona	AZ	0	229	0	120	141	0	229
5	Arkansas	AR	792	490	0	89	81	792	490
6	California	CA	161	582	22	142	243	161	635
8	Colorado	CO	448	589	6	129	102	448	602
9	Connecticut	CT	724	41	0	31	30	724	41
10	Delaware	DE	360	714	0	19	31	360	714
11	District of Columbia	DC	405	224	0	4	4	405	224
12	Florida	FL	773	167	0	161	124	773	167
13	Georgia	GA	582	572	0	95	101	582	572
15	Hawaii	HI	721	0	13	114	74	721	26
16	Idaho	ID	281	393	12	106	171	281	415
17	Illinois	IL	125	233	0	71	126	125	233
18	Indiana	IN	425	166	0	55	94	425	166
19	Iowa	IA	813	400	0	107	70	813	400
20	Kansas	KS	307	624	0	131	71	307	624
21	Kentucky	KY	522	51	0	130	68	522	51
22	Louisiana	LA	650	33	0	98	89	650	33
23	Maine	ME	753	46	0	65	103	753	46
24	Maryland	MD	595	523	-7	81	41	600	523
25	Massachusetts	MA	116	155	-18	62	33	126	155
26	Michigan	MI	430	90	0	134	141	430	90
27	Minnesota	MN	326	71	0	115	131	326	71
28	Mississippi	MS	42	124	0	63	110	42	124
29	Missouri	MO	665	584	0	118	102	665	584
30	Montana	MT	0	363	0	181	115	0	363
31	Nebraska	NE	180	38	0	146	73	180	38
32	Nevada	NV	58	467	7	113	174	58	481
33	New Hampshire	NH	588	183	-8	29	61	596	183
34	New Jersey	NJ	268	629	0	24	54	268	629
35	New Mexico	NM	677	359	8	124	128	677	376
36	New York	NY	69	33	-5	133	102	78	33
37	North Carolina	NC	578	671	-9	156	70	589	671
38	North Dakota	ND	464	708	0	116	73	464	708
39	Ohio	OH	586	752	0	74	85	586	752
40	Oklahoma	OK	780	306	0	153	80	780	306
41	Oregon	OR	166	106	16	142	120	166	145
42	Pennsylvania	PA	277	299	0	103	67	277	299
44	Rhode Island	RI	215	255	0	14	17	215	255
45	South Carolina	SC	329	370	0	91	68	329	370
46	South Dakota	SD	177	527	0	124	83	177	527
47	Tennessee	TN	239	230	0	151	53	239	230
48	Texas	TX	328	739	0	248	243	328	739
49	Utah	UT	660	227	12	100	125	660	248
50	Vermont	VT	564	136	-12	30	56	576	136
51	Virginia	VA	753	91	0	141	78	753	91
53	Washington	WA	185	423	0	119	87	185	423
54	West Virginia	WV	385	255	0	79	79	385	255
55	Wisconsin	WI	767	202	0	93	99	767	202
56	Wyoming	WY	613	121	10	124	103	613	143
